ENV,chr_snp,Slope,Inv_Logit_Coeff,SE
MAT,CE10_chr1_865732,0.5355827311760453,0.6307842514478836,0.09946244556502584
MAT,CE10_chr1_9110324,0.6813638754298652,0.6640430322581597,0.10404046865554775
MAT,CE10_chr1_10285837,0.6036804832077407,0.6464978906696941,0.10480921156273046
MAT,CE10_chr1_41675448,0.6389765544882183,0.6545220727224966,0.0879199827707005
MAT,CE10_chr1_41675470,0.6612735824640644,0.6595464230302448,0.08832026508681232
MAT,CE10_chr1_41676505,0.6205432184827256,0.6503420850530148,0.08974202606465399
MAT,CE10_chr1_41676527,0.6350098654503397,0.6536245644358462,0.08908155449238779
MAT,CE10_chr2_2890930,0.946870107823858,0.7204852960166876,0.27070960535207506
MAT,CE10_chr2_13563156,0.46877290175355285,0.6150932776015255,0.25062130223554463
MAT,CE10_chr2_18320447,0.6303901610952282,0.6525779247722836,0.11970018718345139
MAT,CE10_chr2_18320697,0.049544225736591015,0.512383523456776,0.07941856925858984
MAT,CE10_chr2_18584866,0.05950472992714151,0.5148717945539126,0.08063807384840213
MAT,CE10_chr2_18631100,0.09517143608540782,0.5237749164184292,0.08181723154587082
MAT,CE10_chr2_18632042,0.05376388209011877,0.5134377338027196,0.08191427655982209
MAT,CE10_chr2_18734446,0.4448050698984662,0.6094033852305962,0.07868038641363426
MAT,CE10_chr2_18738517,0.07475570742227217,0.5186802282588416,0.08425724039175242
MAT,CE10_chr2_18964953,0.08353879960638405,0.5208725626465014,0.081673679108237085
MAT,CE10_chr2_18965007,0.12771240754742016,0.5318847757192763,0.081867584379623215
MAT,CE10_chr2_41091592,0.8942723397019806,0.7097710460283653,0.0972863558721939
MAT,CE10_chr2_44949494,0.005002452129673445,0.5012506104244249,0.09749527415727224
MAT,CE10_chr3_4171962,0.27586951283940275,0.5685332904474937,0.11494774524170254
MAT,CE10_chr3_45146794,0.9177994659468365,0.7145935196266034,0.0982054549172843
MAT,CE10_chr3_49434709,0.6135503802191349,0.6487502657885672,0.13336080298637018
MAT,CE10_chr3_49436336,0.424814968907986,0.6046348536016156,0.16097084447962937
MAT,CE10_chr3_49436387,0.4096055914078834,0.6009933032972952,0.0857690914750278
MAT,CE10_chr4_45367078,1.1892037498033456,0.7665986252687065,0.1908985172731318
MAT,CE10_chr5_6592466,0.4122557468750927,0.6016286410943024,0.10997147822379147
MAT,CE10_chr5_42944506,0.23001602151937334,0.5572518074671778,0.08074472995930439
MAT,CE10_chr5_42944930,0.2420116866409645,0.5602093381044657,0.07967301510314014
MAT,CE10_chr6_257233,0.8640427111910718,0.7035045999805275,0.1270583958850147
MAT,CE10_chr6_1416066,0.5871137107823083,0.6427026232356237,0.3289938687099618
MAT,CE10_chr6_8042005,0.32074227537739197,0.5795051396872486,0.10927867385050086
MAT,CE10_chr6_52686214,0.46479042890840605,0.6141499819492807,0.0823438844984352
MAT,CE10_chr6_52686250,0.4591320788676124,0.6128082609372456,0.08309471107048848
MAT,CE10_chr6_52686281,0.5459976476855134,0.6332065171425465,0.09800855536310929
MAT,CE10_chr6_52686491,0.4911374066196308,0.6203743396484868,0.08404893949386052
MAT,CE10_chr6_52686524,0.41522448820165053,0.6023399490048247,0.09961544921167853
MAT,CE10_chr6_52686709,0.44341173172641074,0.6090716771819181,0.08244472550927957
MAT,CE10_chr6_52687031,0.4859682533016213,0.6191561969990346,0.08336761962791088
MAT,CE10_chr6_52687062,0.4579244665342747,0.6125216865658805,0.08276934293593313
MAT,CE10_chr6_56504967,0.3583544697266875,0.5886420392992381,0.07924306762637597
MAT,CE10_chr6_56505268,0.41095191350039284,0.6013161078695716,0.6853746662480805
