Site,Year,CE10_chr1_2508598,CE10_chr1_4222049,CE10_chr1_4223388,CE10_chr1_4354290,CE10_chr1_4355200,CE10_chr1_4356697,CE10_chr1_4357203,CE10_chr1_10353688,CE10_chr1_10358842,CE10_chr1_31404700,CE10_chr1_37726015,CE10_chr1_38801440,CE10_chr1_38806089,CE10_chr1_38807405,CE10_chr1_38807907,CE10_chr1_38809381,CE10_chr1_38824853,CE10_chr1_40056447,CE10_chr2_40551025,CE10_chr2_45378861,CE10_chr2_45379725,CE10_chr2_45380178,CE10_chr2_45380537,CE10_chr2_46039257,CE10_chr5_2802731,CE10_chr5_5505967,CE10_chr5_24762110,CE10_chr5_41935919,CE10_chr5_50013782,CE10_chr6_33868373,CE10_chr6_37849255,CE10_chr6_45245062,CE10_chr6_52686524,CE10_chr6_52687204,CE10_chr6_53094157,CE10_chr6_53095936,CE10_chr6_53140155,CE10_chr6_53141349,CE10_chr6_53299313,CE10_chr6_54469590,CE10_chr6_54471187,CE10_chr6_54473683,CE10_chr6_54476989,CE10_chr6_54532357,CE10_chr6_55647280,CE10_chr6_55652101,CE10_chr6_55652433,CE10_chr6_55652476,CE10_chr6_55652579,CE10_chr6_55654760,CE10_chr6_55655479,CE10_chr6_55655983,CE10_chr6_56396749,CE10_chr6_56480746,CE10_chr6_58212459,CE10_chr6_58952579,CE10_chr6_60718601,CE10_chr7_2451096,CE10_chr7_2537066,CE10_chr7_2543087,CE10_chr7_2652671,CE10_chr7_2653732,CE10_chr7_2654049,CE10_chr7_2684373,CE10_chr7_13694519,CE10_chr7_41430616,CE10_chr8_1300847,CE10_chr8_1880478,CE10_chr8_4009923,CE10_chr8_7690937,CE10_chr8_11198066,CE10_chr8_11199155,CE10_chr8_11203089,CE10_chr8_11203297,CE10_chr8_11203347,CE10_chr8_18982060
1,2010,0.7222222222222222,NA,0.9166666666666666,0.5625,0.5,0.5,0.5,0.9166666666666666,0.8333333333333334,0.3888888888888889,NA,0.3888888888888889,1,1,0,0.125,0.125,NA,NA,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.125,0.8125,NA,NA,NA,0.16666666666666666,NA,NA,0.9444444444444444,0.8125,0.875,NA,0.75,NA,0.75,0.5,0.5,0.9375,0.8333333333333334,0.9444444444444444,0,NA,0.25,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.6,NA,0.9444444444444444,0.7222222222222222,0.6875,NA,NA,0.5555555555555556,0.7222222222222222,0.8888888888888888,NA,0.3888888888888889,0.4444444444444444,0,NA,0.9444444444444444,0.875,0.16666666666666666,0.2222222222222222,NA,0.2222222222222222,0.2222222222222222,0.8888888888888888
2,2010,0.7,NA,1,0.7,0.8,0.7,0.7,1,NA,0.5,0,0.7,0.75,NA,0,0.6,0.7,0.75,NA,0.1,0.4,0,NA,NA,NA,1,NA,NA,0.3,NA,NA,0.9,0.6,0.6,NA,1,NA,NA,0.16666666666666666,0.7,0.8,0.9,0.9,0.375,NA,0,NA,NA,NA,NA,NA,NA,0.8,0.75,NA,NA,0.9,0.5,NA,NA,0.2,0.3,0.3,1,0.4,0.4,NA,NA,NA,0.75,0.5,0.6,NA,0.3333333333333333,0.3333333333333333,0.9
3,2010,0.35714285714285715,NA,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.7857142857142857,0.75,0.16666666666666666,0.6428571428571429,NA,NA,0.9285714285714286,0.3333333333333333,1,0.07142857142857142,NA,NA,NA,0.8571428571428571,0.75,1,0.7142857142857143,0.9166666666666666,0.8333333333333334,NA,0.6428571428571429,NA,0.7142857142857143,0.9166666666666666,0.9166666666666666,NA,0.42857142857142855,0.9166666666666666,0.7857142857142857,1,0.8571428571428571,1,0.7142857142857143,0.7857142857142857,0.35714285714285715,0.42857142857142855,0.4166666666666667,0.5,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75,0.42857142857142855,0.6666666666666666,0.8333333333333334,0.07142857142857142,0.8571428571428571,0.7857142857142857,0.7142857142857143,1,0.9285714285714286,1,0.6428571428571429,NA,0.6428571428571429,NA,NA,1,0.4166666666666667,0.2857142857142857,0.21428571428571427,NA,0.14285714285714285,0.16666666666666666,0.7142857142857143
4,2010,0.6,NA,0.8333333333333334,0.625,0.6,0.7,0.6,0.25,0.625,0,NA,0.5,0.4,0.7,0.125,NA,NA,0.75,NA,0.8,0.8,0.8,1,0.875,1,0.7,NA,0.5,0.7,1,NA,0.5,NA,0.3,NA,0.75,1,0.75,0.9,0.4,0.3,0.4,0.2,0.2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.7,0.625,0.1,0.7,0.5,0.5,0.8333333333333334,0.6,0.6666666666666666,0.5,0,0.7,NA,NA,0.375,0.5,0.3,0.3,NA,NA,NA,0
5,2010,0.42857142857142855,NA,1,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.7857142857142857,1,0.14285714285714285,NA,NA,0.8571428571428571,0.1,1,0.08333333333333333,0,0,NA,NA,0.7142857142857143,0.7857142857142857,0.9166666666666666,0.7142857142857143,0.9166666666666666,0.5714285714285714,1,NA,0.8571428571428571,0.9166666666666666,NA,NA,0.7142857142857143,0.3333333333333333,0.25,NA,0.6428571428571429,0.7857142857142857,0.7142857142857143,1,1,1,1,1,0.5,1,0.9285714285714286,1,1,1,1,1,1,0.9285714285714286,0.16666666666666666,0.75,1,0.21428571428571427,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.5,0.42857142857142855,0.5714285714285714,0.7857142857142857,NA,0.8571428571428571,0.14285714285714285,NA,1,0.75,0,0.07142857142857142,NA,0.07142857142857142,0.07142857142857142,0.5714285714285714
6,2010,0.5,0.9444444444444444,0.7777777777777778,0.6,0.6,1,NA,0.5833333333333334,0.25,NA,0.35,0.35,0.05555555555555555,0.6666666666666666,0.1,0.05,NA,NA,0.8,0.65,0.7142857142857143,0.75,0.65,0.85,0.6,0.3,NA,0.8333333333333334,0.6666666666666666,0.75,NA,0.5555555555555556,0.875,0.5,NA,1,NA,1,0.6666666666666666,0.75,0.875,0.8888888888888888,0.8,0.1,0.8,0.7,0.7777777777777778,0.8,0.8,0.8,0.85,0.75,0.65,0.6666666666666666,0.5,NA,0.1,0.75,0.75,0.75,1,1,0.9,0.7,NA,0.55,0,NA,NA,0.3,0.65,0.6666666666666666,NA,0.5555555555555556,0.55,0.85
7,2010,0.125,NA,1,NA,NA,0.875,0.875,0.25,0.875,NA,0,0.75,0.07142857142857142,0.9375,NA,0.125,0,NA,1,0.6875,0.625,0.6428571428571429,0.6875,0.875,0.9166666666666666,0.5,NA,0.625,0.8125,0.1875,NA,0.375,NA,NA,1,NA,NA,NA,0.07142857142857142,0.5,0.4375,0.5625,0.75,0.25,0.125,0.125,0.14285714285714285,0.125,0.14285714285714285,0.125,0.125,0.125,NA,NA,0.2,0.7142857142857143,NA,0.6875,NA,0.8125,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.1875,0.375,0.375,NA,0.375,0.4375,0.75
8,2011,0.875,NA,NA,0.125,0.125,0.625,0.625,0,0.375,NA,NA,0,0,0.5,NA,0,0,NA,1,0.3333333333333333,0.25,0.375,NA,NA,0.375,0.5,NA,0.875,0.25,0.625,NA,0.375,0.5,0.5,NA,0.375,0.75,0.5,0.75,0.25,0.3333333333333333,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,NA,NA,0.5,NA,NA,1,1,0.75,0.6666666666666666,0.875,0.75,NA,0.75,0.375,NA,NA,0.25,0.75,0.875,NA,0.875,0.875,0.6666666666666666
9,2010,0.5625,0.8888888888888888,NA,0.3888888888888889,0.3333333333333333,0.375,0.3333333333333333,0.5,0.6666666666666666,0,NA,0.5,0.3888888888888889,0.5,NA,0.2777777777777778,0.2777777777777778,0.6111111111111112,0.6875,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.125,0.8333333333333334,0.16666666666666666,0.5,NA,0.8888888888888888,0.1111111111111111,0.9444444444444444,NA,0.0625,0.3333333333333333,0.35714285714285715,NA,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.5555555555555556,0.7222222222222222,0.8571428571428571,0.7222222222222222,0.7777777777777778,NA,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9375,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8333333333333334,NA,0.05555555555555555,0,0.25,0.3888888888888889,0.3888888888888889,0.5555555555555556,0.7222222222222222,0.625,0.8333333333333334,0,0.8888888888888888,0.1111111111111111,NA,0.7777777777777778,0.5555555555555556,0.3888888888888889,0.3333333333333333,NA,0.4444444444444444,0.2,0.2777777777777778
10,2011,0.6,0.95,0.8888888888888888,0.625,0.6111111111111112,0.7,0.75,0.3333333333333333,0.6,NA,NA,0.15,0,0.14285714285714285,NA,0,0,0.65,0.9,0.7222222222222222,0.7,0.6666666666666666,0.9285714285714286,1,0.16666666666666666,0.2222222222222222,NA,0.95,0.6,1,NA,0.125,0.95,0.95,NA,0.6666666666666666,0.4444444444444444,0.6,0.45,0.2,0.2777777777777778,0.16666666666666666,0.2222222222222222,0.15,0.6,0.55,0.5625,0.5,0.6,0.6,0.7,0.5625,0.75,0.8,0,0.0625,NA,0.55,0,0,1,1,1,0.4,NA,0.7777777777777778,0.25,NA,0.95,0.5,0.25,0.15,NA,0.16666666666666666,0.1111111111111111,0.7
