Site,Year,CE10_chr1_7256094,CE10_chr1_9110324,CE10_chr1_10283002,CE10_chr1_10286597,CE10_chr1_10287740,CE10_chr1_10289190,CE10_chr1_31353575,CE10_chr2_39291894,CE10_chr2_41091592,CE10_chr2_44949494,CE10_chr2_53369741,CE10_chr2_53400478,CE10_chr3_4170715,CE10_chr3_4171962,CE10_chr3_4173824,CE10_chr3_4176903,CE10_chr3_4176960,CE10_chr3_45146794,CE10_chr4_40297522,CE10_chr5_4521710,CE10_chr5_4523045,CE10_chr5_4529685,CE10_chr5_6592466,CE10_chr5_6617039,CE10_chr5_35111467,CE10_chr5_42985612,CE10_chr6_1229607,CE10_chr6_8042005,CE10_chr6_51647498,CE10_chr6_52686214,CE10_chr6_52686250,CE10_chr6_52686281,CE10_chr6_52686491,CE10_chr6_52686524,CE10_chr6_52686709,CE10_chr6_52687062,CE10_chr6_56505268,CE10_chr6_56505735,CE10_chr6_56506818,CE10_chr6_56507361,CE10_chr6_56508033,CE10_chr6_56508360,CE10_chr6_56508405,CE10_chr6_56508510,CE10_chr6_56508903,CE10_chr6_56508971,CE10_chr6_56509115,CE10_chr6_60677520,CE10_chr7_8719138,CE10_chr7_11015414,CE10_chr8_47310324,CE10_chr8_47310986
10,2011,0.7222222222222222,0.3,0.2,0.25,0.25,0.15,0.8333333333333334,1,0.5,1,0.05,0.1,0,0.2,0,0.1,0.15,0,1,0.8888888888888888,0.8,0.65,0.05,0.65,1,0,0,1,1,0.95,0.95,0.95,0.95,0.95,1,0.95,0,0.45,0.2777777777777778,0.3,0.3,0.375,0.3888888888888889,0.2777777777777778,0.35,0.3,1,1,0.95,0,0.05,0.9
10,2012,0.6875,0.5,0.2777777777777778,0.1,0.15,0.2,0.75,1,0.3,0.8333333333333334,0.05,0.15,0,0.16666666666666666,0,0.25,0.25,0.1,1,0.3888888888888889,0.25,0.5,0,0.55,1,0,0,1,1,0.7,0.75,0.8888888888888888,0.75,0.9285714285714286,0.7222222222222222,0.85,0,0.3888888888888889,0.4,0.35,0.25,0.4,0.45,0.45,0.3125,0.35,1,1,0.5,0,0.25,0.75
10,2014,0.7857142857142857,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.125,0.1875,0.8125,0.7857142857142857,0.6428571428571429,1,0.125,0.1875,0,0.1875,0,0.14285714285714285,0.125,0,0.75,0.625,0.8125,0.5625,0.1875,0.375,1,0,0,NA,1,1,0.9375,1,0.9375,1,0.9375,0.9375,0,0.125,0.125,0.125,0.125,0.07142857142857142,0.07142857142857142,0.1875,0.14285714285714285,0.1875,1,1,0.8125,0,0.0625,1
10,2015,0.8333333333333334,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.9375,0.75,0.0625,1,0.1111111111111111,0.1111111111111111,0,0.05555555555555555,0,0.1111111111111111,0.16666666666666666,0.05555555555555555,1,0.5555555555555556,0.5,0.6111111111111112,0.05555555555555555,0.6875,1,0,0.05555555555555555,1,1,0.7777777777777778,0.8333333333333334,1,0.8125,1,0.8888888888888888,0.7777777777777778,0,0.2857142857142857,0.2777777777777778,0.375,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.25,1,1,0.75,0,0.2777777777777778,0.8333333333333334
10,2016,0.8888888888888888,0.5,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.7142857142857143,0.8333333333333334,0.35714285714285715,1,0.16666666666666666,0.125,0,0.0625,0,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.9375,0.5,0.6666666666666666,0.5,0.05555555555555555,0.7777777777777778,1,0,0,1,1,0.6666666666666666,0.6111111111111112,0.75,0.6666666666666666,0.8,0.6666666666666666,0.7222222222222222,0,0.4444444444444444,0.5,0.375,0.4444444444444444,0.4444444444444444,0.3888888888888889,0.42857142857142855,0.3333333333333333,0.4444444444444444,1,1,0.4444444444444444,0,0.3888888888888889,0.6111111111111112
11,2010,0.9444444444444444,0.8,0,0,0,0,0.45,0.9444444444444444,0.2222222222222222,1,0.05,0.1875,0,0,0,0.1,0.1,0.05,0.9,0.2,0.25,0.2777777777777778,0,0.85,1,0.16666666666666666,0,1,1,0.5,0.5,0.5,0.5,0.5,0.55,0.5,0,0.16666666666666666,0.15,0.15,0.15,0.1,0.05555555555555555,0.2,0.15,0.15,1,1,0.8571428571428571,0.05,0.2222222222222222,0.85
11,2012,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,1
11,2014,1,1,0,0,0,0,0.875,1,0.6,0.5,0,0.125,0,0,0,0,0.1,0,0.9,0.5,0.375,0.5,0,0.75,1,0.3,0,0.6666666666666666,1,0.8,0.7,1,0.875,1,0.8,0.7,0,0.125,0.375,0.25,0.125,0.3,0.16666666666666666,0.3,0.3333333333333333,0.5,1,1,1,0,0.4,0.9
11,2015,1,0.95,0,0,0.1,0.2,0.3,1,0.1,1,0,0.1,0,0.1,0,0.1,0.1,0.1,1,0.15,0.2,0.1,0,0.95,1,0,0,1,1,0.9444444444444444,0.95,0.95,0.9,0.85,0.85,0.95,0,0.2,0.2,0.2,0.2,0.1,0.1,0.15,0.15,0.2,1,1,0.6875,0.1,0,1
11,2016,0.95,0.95,0,0.05,0.05555555555555555,0,0.3125,1,0.1,1,0,0,0,0,0,0,0,0,1,0.15,0.16666666666666666,0.15,0,0.9,1,0,0,1,1,0.9444444444444444,0.9,0.9,0.9,0.9,0.85,0.85,0,0.16666666666666666,0.3,0.2,0.25,0.25,0.25,0.16666666666666666,0.2,0.2,1,1,0.75,0,0.2,0.95
