Site,snp_ID,Slope,SE,ENV,Type
1,CE10_chr1_865732,0.21576633999779893,0.7328355925857175,MAT,obs
1,CE10_chr1_4675850,-1.1637742898445087,2.4522256375230076,MAT,obs
1,CE10_chr1_9110324,43.166336262688446,51066.684938224826,MAT,obs
1,CE10_chr1_10285837,-0.14600675137982796,0.6361313505709224,MAT,obs
1,CE10_chr1_41675448,0.2383574852733134,0.6366243121222401,MAT,obs
1,CE10_chr1_41675470,0.23013949831843628,0.6396854449535674,MAT,obs
1,CE10_chr1_41676505,0.2848021875929785,0.6422707628098769,MAT,obs
1,CE10_chr1_41676527,0.36969099152969703,0.6477345105911315,MAT,obs
1,CE10_chr2_2890930,2.1582731635873017e-13,1.499999724582641,MAT,obs
1,CE10_chr2_13563156,41.258813323822466,51762.51028695204,MAT,obs
1,CE10_chr2_18320447,-1.5755986527381864e-9,41429.244869813374,MAT,obs
1,CE10_chr2_18320697,-42.870170069990166,51221.84506115274,MAT,obs
1,CE10_chr2_18584866,-1.5285391679631115,1.772173223094752,MAT,obs
1,CE10_chr2_18631100,1.5285391679632683,1.7721732230946405,MAT,obs
1,CE10_chr2_18632042,-42.870170069990166,51221.84506115274,MAT,obs
1,CE10_chr2_18734446,-0.08452411421074747,0.6899055911075749,MAT,obs
1,CE10_chr2_18738517,-0.8246173981559509,1.297603112806066,MAT,obs
1,CE10_chr2_18964953,1.5285391679632683,1.7721732230946405,MAT,obs
1,CE10_chr2_18965007,1.5285391679632683,1.7721732230946405,MAT,obs
1,CE10_chr2_41091592,1.677335197904466,1.783771714542665,MAT,obs
1,CE10_chr2_44949494,42.61236603577564,51340.54434226186,MAT,obs
1,CE10_chr3_4171962,-0.522292004356477,0.7381771854026492,MAT,obs
1,CE10_chr3_45146794,-0.5673269971197931,0.7199567678763157,MAT,obs
1,CE10_chr3_49434709,-0.3605479597716032,1.045255277198452,MAT,obs
1,CE10_chr3_49436336,9.025498802895332e-15,41429.22030364447,MAT,obs
1,CE10_chr3_49436387,0.7537960548048257,0.7724949192524018,MAT,obs
1,CE10_chr4_45367078,-1.5755986527381864e-9,41429.244869813374,MAT,obs
1,CE10_chr5_6592466,0.23800904424768504,0.9122991157283005,MAT,obs
1,CE10_chr5_35111467,-1.7046989767826834e-8,37458.755472894285,MAT,obs
1,CE10_chr5_42944506,0.2948730742235857,0.6553634443266745,MAT,obs
1,CE10_chr5_42944930,0.21555824599110562,0.6619954829948828,MAT,obs
1,CE10_chr6_257233,0.553917410657787,0.6931071646701825,MAT,obs
1,CE10_chr6_1416066,0.8741531159711979,0.819267752828873,MAT,obs
1,CE10_chr6_8042005,9.025498802895332e-15,41429.22030364447,MAT,obs
1,CE10_chr6_52686214,-0.4413543440846734,0.7076313960192644,MAT,obs
1,CE10_chr6_52686250,-0.48051544712972377,0.695384752279856,MAT,obs
1,CE10_chr6_52686281,-0.37546302882571975,0.6842275490687962,MAT,obs
1,CE10_chr6_52686491,-0.28789993391022206,0.6934279769470856,MAT,obs
1,CE10_chr6_52686524,-0.32088452537863327,0.6930604211756832,MAT,obs
1,CE10_chr6_52686709,-0.3585423660665999,0.7023432011613481,MAT,obs
1,CE10_chr6_52687031,-0.786676090297529,0.7354488577310834,MAT,obs
1,CE10_chr6_52687062,-0.5690068200809086,0.720636522478213,MAT,obs
1,CE10_chr6_56504967,1.227445842710227,0.757973345040421,MAT,obs
1,CE10_chr6_56505268,9.025498802895332e-15,41429.22030364447,MAT,obs
1,CE10_chr6_56505735,0.8720115686965011,0.7007453298303785,MAT,obs
1,CE10_chr6_56505767,0.8891691078196055,0.690926105080259,MAT,obs
1,CE10_chr6_56507361,0.9040266066045703,0.6923453790407155,MAT,obs
1,CE10_chr6_56507770,1.218828685708997,0.7423368033605262,MAT,obs
1,CE10_chr6_56508033,1.206406997022612,0.7656368998062922,MAT,obs
1,CE10_chr6_56508360,1.3056752999836323,0.7553947415245157,MAT,obs
1,CE10_chr6_56508405,1.214363860976088,0.7366522130740484,MAT,obs
