chr_snp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124
CE10_chr2_18205046,1,17,13,7,7,9,10,6,7,11,14,6,0,4,5,1,18,2,12,6,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,10,0,12,0,18,0,12,0,6,0,12,2,1,3,5,1,4,6,11,5,14,6,6,2,8,2,1,3,10,8,6,2,1,1,12,2,19,1,10,2,10,2,3,7,10,10,2,2,13,3,1,3,2,0,15,1,12,4,18,2,17,1,18,0,5,3,0,2,9,1,15,3,12,6,4,2,5,1,10,0,14,0,18,2
CE10_chr2_18318806,1,15,12,6,6,8,15,3,7,9,11,7,1,3,7,3,17,3,11,5,0,20,2,12,1,11,1,9,1,7,6,12,3,11,2,10,4,8,7,13,1,9,8,4,7,11,3,11,6,0,12,2,2,2,5,1,5,5,11,5,14,6,7,1,8,2,1,3,8,10,6,2,2,0,10,4,19,1,10,2,9,3,4,8,13,7,2,2,12,4,1,3,2,0,15,1,14,2,18,2,17,1,18,0,5,3,0,2,9,1,14,4,15,3,5,3,2,4,10,0,14,0,18,2
CE10_chr2_18322390,2,16,16,2,7,9,11,7,8,10,12,8,1,3,5,3,19,1,14,4,0,20,4,10,1,11,0,10,2,6,5,11,3,11,1,11,5,5,5,11,1,7,11,1,7,9,5,5,5,1,11,3,2,0,5,1,5,5,11,5,13,7,6,2,8,2,1,3,7,9,7,1,1,1,9,3,20,0,8,4,10,2,3,9,13,7,2,2,13,1,1,3,1,1,13,3,11,5,18,2,17,1,18,0,5,3,0,2,9,1,13,5,14,4,6,2,3,3,10,0,14,0,17,3
CE10_chr2_18323533,2,18,14,6,6,10,12,6,7,11,11,9,1,3,5,5,17,3,15,5,0,20,4,10,1,11,0,10,2,6,6,10,3,9,1,11,2,10,5,15,1,9,6,4,5,11,3,11,5,1,11,3,1,3,5,1,5,5,11,5,14,6,6,2,8,2,1,3,7,11,7,1,1,1,10,4,19,1,10,0,9,3,4,8,11,7,2,2,12,4,1,3,2,0,13,3,11,5,18,2,17,1,18,0,5,3,0,2,9,1,13,5,14,4,2,2,3,3,10,0,14,0,16,4
CE10_chr2_18534760,2,16,13,7,7,7,12,6,7,9,11,7,1,3,9,1,18,2,15,5,12,0,8,0,10,0,6,0,2,0,6,4,4,0,4,0,5,1,10,0,0,2,8,0,16,0,10,0,6,0,12,2,1,3,5,1,4,6,12,4,15,5,7,1,8,2,1,3,8,8,6,2,2,0,10,2,19,1,10,2,9,3,3,9,12,8,2,2,13,3,1,3,2,0,13,1,12,4,18,2,17,1,18,0,6,2,0,2,10,0,13,5,15,3,5,3,6,0,10,0,14,0,17,3
CE10_chr2_18536712,3,17,16,4,6,8,11,7,7,11,12,8,1,3,8,0,17,3,15,5,13,7,11,3,11,1,6,4,4,4,8,10,6,8,2,10,9,3,13,7,2,8,10,2,16,2,11,3,6,0,10,0,0,0,4,0,4,0,8,0,13,3,4,0,8,0,0,0,7,7,6,2,0,0,9,3,19,1,8,0,10,2,6,4,9,11,2,0,11,3,1,3,0,0,15,1,12,4,18,2,17,1,18,0,5,3,0,2,9,1,13,5,13,3,5,3,5,1,10,0,12,0,17,3
CE10_chr2_18537074,3,17,14,4,7,9,13,5,8,10,14,6,1,3,8,2,19,1,16,4,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,10,0,20,0,9,1,12,0,18,0,14,0,6,0,11,3,1,3,5,1,4,4,12,4,13,7,6,2,8,2,1,3,11,7,6,2,1,1,12,2,19,1,9,3,9,3,3,9,11,9,2,0,12,4,1,3,2,0,16,0,12,4,18,2,17,1,18,0,5,3,0,2,9,1,13,5,14,2,5,3,5,1,10,0,14,0,16,2
CE10_chr2_18539723,4,14,16,4,7,7,12,6,8,10,13,7,1,3,7,1,19,1,14,4,12,0,14,0,12,0,8,0,8,0,12,4,14,0,12,0,11,1,20,0,9,1,12,0,12,0,10,0,4,0,11,3,1,3,6,0,4,6,11,5,13,7,5,3,8,2,0,2,10,8,8,0,1,1,10,4,20,0,9,3,10,2,3,9,13,5,2,2,10,4,1,3,0,2,16,0,11,5,18,2,17,1,18,0,5,3,0,2,9,1,13,5,15,3,4,4,5,1,10,0,12,0,17,3
CE10_chr2_18541368,2,18,15,5,9,7,10,6,6,10,11,9,3,1,5,3,18,2,15,5,0,20,3,11,2,10,0,10,3,5,6,12,3,11,1,11,5,7,6,14,1,9,8,4,7,11,5,9,5,1,10,2,1,3,5,1,5,5,10,6,13,5,6,2,8,2,1,3,8,10,7,1,1,1,9,5,19,1,9,3,7,3,3,5,11,9,2,2,11,5,1,3,2,0,13,3,11,3,18,2,17,1,18,0,5,3,0,2,9,1,14,2,14,4,5,3,3,1,10,0,14,0,18,2
CE10_chr2_18541798,3,17,14,6,9,5,12,6,7,11,14,6,1,3,8,2,19,1,16,4,18,0,14,0,12,0,10,0,8,0,12,4,12,0,12,0,11,1,20,0,9,1,12,0,18,0,14,0,6,0,12,2,1,1,6,0,3,7,12,4,14,6,7,1,8,2,1,3,11,7,7,1,1,1,10,2,19,1,9,3,9,3,3,9,13,7,2,2,13,3,2,2,2,0,15,1,14,2,18,2,17,1,18,0,5,3,0,2,9,1,14,4,14,2,6,2,5,1,10,0,14,0,18,0
CE10_chr2_18542068,1,19,14,4,7,9,15,3,8,8,12,8,1,3,9,1,18,2,17,3,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,12,0,20,0,9,1,12,0,18,0,14,0,6,0,11,3,2,2,5,1,4,6,11,5,13,7,6,2,8,2,1,3,10,8,8,0,1,1,12,2,20,0,10,2,8,4,4,6,11,9,2,2,12,4,1,3,2,0,16,0,13,3,16,2,17,1,18,0,5,3,0,2,10,0,15,1,13,3,5,1,4,0,10,0,14,0,18,2
CE10_chr2_18605040,1,7,10,0,4,2,9,1,4,2,13,3,0,4,5,3,16,4,16,4,7,3,7,3,0,0,4,2,5,1,9,3,8,2,11,1,8,2,13,3,9,1,8,2,6,2,6,0,6,0,10,4,1,3,5,1,4,6,12,4,13,7,7,1,8,2,1,3,10,8,6,2,1,1,8,0,18,0,9,3,9,3,3,9,9,7,2,2,13,3,0,2,0,0,15,1,14,0,18,0,17,1,18,0,4,0,0,0,8,0,12,0,12,2,6,2,4,2,8,0,14,0,18,2
CE10_chr2_18605773,3,15,15,5,7,9,12,6,9,9,9,9,3,1,6,0,19,1,16,4,0,12,0,4,0,2,0,6,1,5,4,10,4,10,0,12,4,6,7,7,2,4,6,2,2,2,3,3,4,0,11,3,1,3,5,1,5,5,11,5,14,6,6,2,8,2,1,3,8,8,6,2,1,1,8,4,18,0,9,3,9,3,3,7,12,8,2,2,13,3,1,3,1,1,14,2,12,4,18,2,17,1,16,0,5,3,0,2,9,1,12,6,13,3,5,3,2,2,10,0,14,0,17,3
CE10_chr2_18606148,3,17,15,5,8,6,10,6,10,6,13,7,1,3,6,2,18,2,14,4,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,9,1,12,0,18,0,14,0,6,0,11,3,1,3,6,0,4,6,11,5,14,6,7,1,8,2,1,3,10,8,6,2,1,1,10,4,19,1,10,2,8,2,4,6,10,6,2,2,13,3,1,3,1,1,15,1,11,5,18,2,17,1,18,0,5,3,0,2,9,1,15,3,16,2,6,2,6,0,10,0,14,0,17,3
CE10_chr2_18606200,3,17,15,5,7,7,12,6,7,11,12,8,2,2,5,3,17,3,16,4,1,19,4,10,1,11,0,10,3,5,4,14,3,11,1,9,3,9,9,11,1,9,6,4,8,10,5,9,5,1,11,3,1,1,5,1,4,6,9,5,13,7,6,2,8,2,1,3,8,10,7,1,2,0,8,6,19,1,9,3,10,2,5,7,12,8,2,2,13,3,1,3,1,1,14,2,12,4,18,2,17,1,18,0,5,3,0,2,9,1,14,4,15,1,5,3,3,3,8,0,14,0,17,3
CE10_chr2_18607250,4,16,14,4,8,6,9,7,7,9,11,9,1,3,7,1,18,2,16,4,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,9,1,12,0,18,0,14,0,6,0,10,4,2,2,5,1,4,6,12,2,14,6,6,2,8,2,2,0,10,8,5,1,1,1,12,2,18,0,9,3,10,2,4,8,12,8,2,2,12,4,2,2,1,1,16,0,12,4,18,2,17,1,18,0,5,3,0,2,9,1,15,3,15,3,4,2,5,1,10,0,14,0,17,3
CE10_chr2_18607332,4,14,14,6,9,5,11,5,8,10,14,6,1,3,7,1,19,1,16,2,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,9,1,12,0,18,0,14,0,6,0,11,1,2,0,4,0,2,2,8,0,13,3,6,0,8,2,1,3,10,8,6,2,0,0,11,3,16,2,8,0,8,2,2,4,13,7,2,2,13,3,1,3,2,0,16,0,12,4,18,0,17,1,18,0,5,3,0,2,10,0,12,4,13,5,6,2,5,1,10,0,14,0,16,2
CE10_chr2_18608119,3,17,15,5,7,9,13,5,8,10,14,6,1,3,8,2,19,1,15,5,20,0,14,0,10,0,10,0,8,0,14,4,12,0,12,0,12,0,20,0,9,1,12,0,18,0,14,0,6,0,11,3,1,3,5,1,4,6,11,5,13,7,5,3,8,2,1,3,10,8,5,1,1,1,10,2,19,1,9,3,10,2,3,9,8,10,2,2,13,3,1,3,1,1,16,0,12,4,16,2,17,1,18,0,5,3,0,2,9,1,13,5,14,4,4,4,5,1,10,0,14,0,18,2
CE10_chr2_18610313,3,17,15,5,7,9,10,6,8,10,12,8,1,3,8,2,20,0,15,5,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,9,1,12,0,18,0,14,0,6,0,10,2,1,3,5,1,4,6,11,5,12,6,6,2,8,2,1,3,10,8,5,1,1,1,11,3,18,0,9,3,9,3,5,5,8,10,2,2,13,3,2,2,1,1,16,0,12,4,18,2,13,1,18,0,5,3,0,2,9,1,13,5,13,3,5,3,5,1,10,0,14,0,17,3
CE10_chr2_18610646,4,16,15,5,5,9,11,7,7,9,13,7,1,3,7,3,18,2,15,3,20,0,12,0,12,0,10,0,8,0,14,4,14,0,12,0,11,1,20,0,7,1,12,0,18,0,12,0,6,0,10,2,2,2,5,1,4,6,11,5,13,7,6,2,8,2,1,3,11,7,7,1,1,1,12,2,18,0,9,3,9,3,3,9,9,9,2,2,12,4,2,2,2,0,16,0,12,4,18,2,18,0,18,0,5,3,0,2,9,1,14,4,16,2,5,3,6,0,10,0,14,0,17,3
