Site,snp_ID,Slope,SE,ENV,Type
1,CE10_chr1_865732,0.2915451353886422,0.18134234500225285,MAT,obs
2,CE10_chr1_865732,0.5769248222881872,0.1693931610266518,MAT,obs
3,CE10_chr1_865732,0.34640640482290846,0.14011923530778733,MAT,obs
4,CE10_chr1_865732,0.06421832723936056,0.2736874805450234,MAT,obs
5,CE10_chr1_865732,0.1898042300679383,0.1685081347936241,MAT,obs
6,CE10_chr1_865732,-2.4529042572426705,1.1210999986109564,MAT,obs
7,CE10_chr1_865732,-0.01742310650588356,0.13201260114617563,MAT,obs
8,CE10_chr1_865732,-0.7982327412620496,0.19850169845076143,MAT,obs
9,CE10_chr1_865732,0.029054443817426535,0.10484803940603302,MAT,obs
10,CE10_chr1_865732,-0.39902634964408046,0.11359685555370985,MAT,obs
11,CE10_chr1_865732,-0.15236267112267393,0.10074449659401716,MAT,obs
12,CE10_chr1_865732,0.16682555415101638,0.12280327463072938,MAT,obs
1,CE10_chr1_4675850,0.5712706644059791,0.8092224143317462,MAT,obs
2,CE10_chr1_4675850,-0.2060648982679346,19094.52349726277,MAT,obs
3,CE10_chr1_4675850,-0.22416471200533547,26689.326787891794,MAT,obs
4,CE10_chr1_4675850,0.3131531356731727,34084.655397507515,MAT,obs
5,CE10_chr1_4675850,0.11651957092557738,19494.714559487453,MAT,obs
6,CE10_chr1_4675850,0.5096541793715543,20996.23939668695,MAT,obs
7,CE10_chr1_4675850,-0.08021308944304076,20310.588305267247,MAT,obs
8,CE10_chr1_4675850,-0.3826341528479114,22943.250560061708,MAT,obs
9,CE10_chr1_4675850,-0.13948276577507912,15418.51157746471,MAT,obs
10,CE10_chr1_4675850,1.0624906175949902,0.7474354207858497,MAT,obs
11,CE10_chr1_4675850,-0.14208515735950122,15481.113674409198,MAT,obs
12,CE10_chr1_4675850,0.16056305617440939,17858.673360296427,MAT,obs
1,CE10_chr1_9110324,47.61304929744326,54874.840177996426,MAT,obs
