Site,snp_ID,Slope,SE,ENV,Type
1,CE10_chr1_865732,0.1457725676943211,0.18134234500225285,MAT,obs
1,CE10_chr1_9110324,23.80652464872163,54874.840177996426,MAT,obs
1,CE10_chr1_10285837,-0.06298717292627456,0.16612747007681547,MAT,obs
1,CE10_chr1_41675448,0.11660892365915568,0.15457672957800292,MAT,obs
1,CE10_chr1_41675470,0.11050328000068604,0.1525144833350387,MAT,obs
1,CE10_chr1_41676505,0.11172593960846972,0.1512380024150344,MAT,obs
1,CE10_chr1_41676527,0.15788863812216197,0.15245675778815154,MAT,obs
1,CE10_chr2_2890930,0.47398758402432534,0.9749849033596463,MAT,obs
1,CE10_chr2_13563156,23.391552808911843,55045.941136681024,MAT,obs
1,CE10_chr2_18320447,0.020189878562971816,25389.944668325577,MAT,obs
1,CE10_chr2_18734446,-0.018906590622120592,0.16183794160206016,MAT,obs
1,CE10_chr2_41091592,0.9398625106654774,0.49414426849916004,MAT,obs
1,CE10_chr3_45146794,-0.28432991897073934,0.1699147790686599,MAT,obs
1,CE10_chr3_49434709,-0.23180098558515347,0.253580700152067,MAT,obs
1,CE10_chr3_49436336,-0.033349527054340675,26645.930770537267,MAT,obs
1,CE10_chr3_49436387,0.4440078651138204,0.18695976871403372,MAT,obs
1,CE10_chr4_45367078,0.00667940157148876,25587.68602558613,MAT,obs
1,CE10_chr5_6592466,0.07133475072601586,0.22179833007167227,MAT,obs
1,CE10_chr6_257233,0.2901862240490861,0.16449152588047725,MAT,obs
1,CE10_chr6_8042005,0.11929297114919861,27388.75729783735,MAT,obs
1,CE10_chr6_52686214,-0.23443478953370808,0.17001456942639862,MAT,obs
1,CE10_chr6_52686250,-0.24866791459832815,0.166278133492071,MAT,obs
1,CE10_chr6_52686281,-0.20994230658581045,0.16416862074241068,MAT,obs
1,CE10_chr6_52686491,-0.14466993504241252,0.16492293510776396,MAT,obs
1,CE10_chr6_52686524,-0.16375525013365025,0.16986979303487962,MAT,obs
1,CE10_chr6_52686709,-0.2057184267517387,0.16892886892047915,MAT,obs
1,CE10_chr6_52687031,-0.4042194658677128,0.17680757924611232,MAT,obs
1,CE10_chr6_52687062,-0.28921076194409384,0.18011486637423627,MAT,obs
1,CE10_chr6_56504967,0.6064304294839402,0.1802406126242817,MAT,obs
1,CE10_chr6_56505735,0.42115504886157007,0.16570929415207372,MAT,obs
1,CE10_chr6_56505767,0.39884515105209967,0.1665744210939385,MAT,obs
1,CE10_chr6_56507361,0.43122466880455496,0.16294148487823248,MAT,obs
1,CE10_chr6_56507770,0.5813083046484058,0.17443481950638828,MAT,obs
1,CE10_chr6_56508033,0.5731762389230006,0.1995267675004642,MAT,obs
1,CE10_chr6_56508360,0.6375405803511522,0.18275495592787977,MAT,obs
1,CE10_chr6_56508405,0.6156537310090525,0.1820555928072466,MAT,obs
1,CE10_chr6_56508510,0.47925276787765186,0.16992537407902572,MAT,obs
1,CE10_chr6_56508903,0.3717421487388077,0.17246492112136488,MAT,obs
1,CE10_chr6_56508971,0.4506911865975062,0.16810187776140487,MAT,obs
1,CE10_chr6_56509130,0.518890038264534,0.17282688979679628,MAT,obs
1,CE10_chr6_60718601,0.41056253941096355,0.25689478012843725,MAT,obs
1,CE10_chr7_11015414,-0.004951836227639144,0.1533674726091137,MAT,obs
1,CE10_chr7_18760873,0.4079344920988087,0.26783334666353237,MAT,obs
1,CE10_chr7_28948567,0.5191037811166939,0.468295736637267,MAT,obs
1,CE10_chr7_30318081,0.4463618286987233,0.3469508529867619,MAT,obs
1,CE10_chr7_30318160,0.2761390451425376,0.35642255680041224,MAT,obs
1,CE10_chr8_4027355,0.5422590046550708,0.3391195914151001,MAT,obs
1,CE10_chr8_4030884,24.066756446318323,51031.21901126211,MAT,obs
1,CE10_chr8_47308615,0.21546861868384307,0.18660945927722358,MAT,obs
1,CE10_chr8_47310455,23.522232563195743,54967.48161318666,MAT,obs
1,CE10_chr8_47752251,0.00667940157148876,25587.68602558613,MAT,obs
1,CE10_chr1_2597178,-0.35790418477830055,0.20284650256827205,MAP,obs
1,CE10_chr1_32671779,0.7177828229342742,0.47117237708011417,MAP,obs
1,CE10_chr1_36931762,NA,NA,MAP,obs
1,CE10_chr1_36935204,-0.025781048119191678,0.46807722236811067,MAP,obs
1,CE10_chr1_36936794,22.563005979506546,57274.18742939308,MAP,obs
1,CE10_chr1_36941008,23.376010196743575,55185.719072435975,MAP,obs
1,CE10_chr1_37374277,0.9915499007068977,0.5171089819239789,MAP,obs
1,CE10_chr1_38800054,0.3277614419888679,0.3011554088325919,MAP,obs
1,CE10_chr1_38801440,-0.34705511627982094,0.2142251682506486,MAP,obs
1,CE10_chr1_38804192,-0.47899762032647614,0.5575918905315305,MAP,obs
1,CE10_chr1_38806913,0.4922334115205722,0.37836082179602043,MAP,obs
1,CE10_chr1_38809930,0.1238778897743557,0.21521862120688337,MAP,obs
1,CE10_chr1_38814297,-0.46367780855003704,0.5622908283026676,MAP,obs
1,CE10_chr1_38819336,-0.47899762032647614,0.5575918905315305,MAP,obs
1,CE10_chr1_38824853,0.21685561178009957,0.2327520845968272,MAP,obs
1,CE10_chr1_38825189,-0.008414970746026778,25328.34411986992,MAP,obs
1,CE10_chr2_18599218,0.10349297966199028,0.20883578602710332,MAP,obs
1,CE10_chr2_18602600,0.1408138836212001,0.24444100436809008,MAP,obs
1,CE10_chr2_18992699,0.7048370522110481,0.44292195899353576,MAP,obs
1,CE10_chr2_40551025,0.00667940157148876,25587.68602558613,MAP,obs
1,CE10_chr2_41154260,-0.2671918122433791,0.16026774846823752,MAP,obs
1,CE10_chr2_44839490,-0.28282615788522447,0.41108290421762056,MAP,obs
1,CE10_chr2_51899790,-0.06582591045472999,0.19962130957667476,MAP,obs
1,CE10_chr2_53118124,-0.2731839640240341,0.29546137890386587,MAP,obs
1,CE10_chr3_10785844,0.028832878302253433,25931.974214770526,MAP,obs
1,CE10_chr3_17147449,0.020189878562971816,25389.944668325577,MAP,obs
1,CE10_chr3_18134809,22.70620341443551,56961.40735899042,MAP,obs
1,CE10_chr3_21030630,22.835617651134843,57082.928721121476,MAP,obs
1,CE10_chr3_23041587,0.00667940157148876,25587.68602558613,MAP,obs
1,CE10_chr3_24257330,0.00667940157148876,25587.68602558613,MAP,obs
1,CE10_chr3_34946312,0.4388237016948274,0.3421756481227432,MAP,obs
