Site,Year,CE10_chr1_2508598,CE10_chr1_3437991,CE10_chr1_3438331,CE10_chr1_37374277,CE10_chr1_38824853,CE10_chr2_3414129,CE10_chr2_9622868,CE10_chr2_15169455,CE10_chr2_19138768,CE10_chr2_42519561,CE10_chr2_44534506,CE10_chr2_51313516,CE10_chr2_51809393,CE10_chr3_4175533,CE10_chr3_4176104,CE10_chr3_45067697,CE10_chr4_9346880,CE10_chr4_12867448,CE10_chr4_14590288,CE10_chr4_47524457,CE10_chr4_47525002,CE10_chr4_47525958,CE10_chr4_47526264,CE10_chr4_47526514,CE10_chr4_47526563,CE10_chr4_47526634,CE10_chr4_47526697,CE10_chr4_47527780,CE10_chr4_47528316,CE10_chr4_47528382,CE10_chr4_47528921,CE10_chr4_47529299,CE10_chr4_47529949,CE10_chr5_83495,CE10_chr5_43330852,CE10_chr5_43332201,CE10_chr5_43332256,CE10_chr5_43332291,CE10_chr5_43333658,CE10_chr5_43334139,CE10_chr5_43334658,CE10_chr5_43335525,CE10_chr5_43337163,CE10_chr5_43337538,CE10_chr6_7642955,CE10_chr6_7644775,CE10_chr6_7647449,CE10_chr6_7647994,CE10_chr6_7647997,CE10_chr6_52682981,CE10_chr6_52686214,CE10_chr6_52686250,CE10_chr6_52686281,CE10_chr6_52686491,CE10_chr6_52686524,CE10_chr6_52686709,CE10_chr6_52687031,CE10_chr6_52687062,CE10_chr6_52687204,CE10_chr6_52687892,CE10_chr6_52688942,CE10_chr6_52689350,CE10_chr6_52689717,CE10_chr6_55264286,CE10_chr6_56880282,CE10_chr6_56881003,CE10_chr6_56881246,CE10_chr6_56882143,CE10_chr6_56883413,CE10_chr6_56883446,CE10_chr7_4616741,CE10_chr7_37239373,CE10_chr8_18229212,CE10_chr8_18231055,CE10_chr8_18938069,CE10_chr8_18942814,CE10_chr8_18943342
10,2011,8,1,2,8,20,17,11,0,0,2,20,9,0,2,3,0,0,16,8,0,0,2,2,1,1,1,2,2,2,1,2,2,0,17,6,7,7,7,5,7,6,3,3,12,18,16,3,17,5,6,1,1,1,1,1,0,1,1,1,1,1,1,0,12,13,14,8,11,11,13,0,4,6,5,6,8,4
10,2012,9,1,1,8,14,11,17,5,0,2,20,10,0,4,4,0,0,12,15,0,1,1,0,1,1,1,1,1,1,0,1,1,1,17,7,9,8,8,7,7,5,6,9,14,17,16,7,15,4,5,6,5,2,5,1,5,3,3,3,5,4,3,0,4,8,9,8,8,8,11,0,5,11,7,7,8,10
10,2014,14,0,0,8,13,11,10,7,2,2,13,7,0,4,6,0,0,3,5,9,10,12,10,12,12,8,8,11,9,7,12,10,7,5,8,6,6,6,7,6,6,7,7,14,15,14,9,14,10,1,0,1,0,1,0,1,1,1,1,1,1,0,0,4,7,13,10,14,9,14,0,2,11,12,9,12,11
10,2015,6,2,1,11,17,14,9,11,1,1,13,5,0,3,2,0,0,7,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,5,6,7,5,7,3,4,6,3,14,15,14,11,15,8,5,4,3,0,3,0,2,5,4,3,4,3,0,0,6,6,7,7,8,4,8,0,1,13,10,9,9,8
10,2016,11,1,2,11,18,10,12,6,0,7,16,4,0,1,1,0,0,9,16,3,4,4,2,2,3,4,3,6,2,2,4,2,1,14,8,8,8,9,8,8,6,8,8,16,15,15,9,17,7,7,6,7,2,6,2,6,6,5,4,5,6,2,2,10,6,12,8,11,8,10,0,7,12,13,15,15,15
11,2010,14,10,10,16,20,16,14,1,4,0,20,18,2,2,1,2,3,16,14,5,10,5,6,6,7,7,7,6,5,4,4,7,6,12,3,3,3,3,3,1,3,1,3,12,15,15,10,16,11,9,10,10,10,10,10,9,10,10,8,9,10,10,10,10,5,12,5,16,5,16,1,11,17,14,17,17,17
11,2012,2,1,2,2,0,2,3,0,0,0,4,2,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,2,4,4,4,4,4
11,2014,3,7,5,4,6,3,6,2,0,3,9,2,2,1,1,0,1,8,6,3,3,2,3,5,5,2,3,4,5,4,5,5,3,4,2,2,1,0,1,1,1,1,1,5,7,6,1,6,3,3,2,3,0,1,0,2,3,3,4,1,2,0,0,6,3,5,1,4,1,2,0,2,6,6,5,8,3
11,2015,14,6,9,6,14,18,9,5,2,0,20,17,2,1,2,0,0,18,14,0,0,2,2,0,0,0,0,1,0,0,0,1,0,10,3,4,4,3,5,5,1,5,4,14,18,19,13,17,15,1,1,1,1,2,3,3,1,1,3,2,3,3,0,14,0,12,0,14,0,13,2,3,18,18,16,18,18
11,2016,10,5,7,10,7,14,6,1,7,0,19,16,0,0,0,0,0,18,14,6,9,6,4,4,5,7,7,8,7,5,4,7,0,15,2,2,2,2,2,2,2,2,2,6,19,18,15,19,15,2,1,2,2,2,2,3,3,3,2,2,2,2,2,18,0,14,0,15,0,16,0,6,18,20,20,20,20
12,2010,8,0,0,0,15,10,20,0,0,0,20,20,1,6,5,0,0,14,5,0,11,6,2,10,7,5,14,11,11,5,9,10,10,0,18,19,18,17,18,18,17,18,18,18,4,5,1,6,1,2,3,3,3,4,3,3,2,2,1,4,2,2,3,20,5,6,6,3,5,5,5,7,16,17,15,15,14
12,2011,3,0,0,0,9,7,13,0,0,0,14,13,0,0,0,0,0,14,7,0,13,4,0,12,11,1,13,10,12,9,13,12,11,0,9,9,9,9,9,9,7,9,8,8,4,7,2,6,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,14,2,3,2,3,1,2,3,3,6,6,1,5,5
12,2013,4,0,0,0,5,5,11,0,0,0,12,12,0,3,2,0,0,12,8,1,7,7,4,6,6,1,4,3,4,0,4,6,6,0,2,2,2,2,2,1,1,3,0,2,2,4,0,4,0,7,6,5,5,6,6,7,6,6,5,6,6,5,6,10,0,1,0,1,2,2,4,0,7,6,4,6,7
12,2015,2,0,0,0,6,3,8,0,0,0,10,10,1,0,1,0,0,10,3,0,9,4,2,6,9,3,9,5,5,5,6,3,6,0,4,5,5,5,4,4,5,4,4,5,4,6,0,6,0,7,7,7,7,6,6,6,8,7,9,7,8,8,7,10,0,1,0,0,0,0,4,2,1,1,0,1,1
