Site,Year,CE10_chr1_2597178,CE10_chr1_32671779,CE10_chr1_36931762,CE10_chr1_36935204,CE10_chr1_36936794,CE10_chr1_36941008,CE10_chr1_37374277,CE10_chr1_38800054,CE10_chr1_38801440,CE10_chr1_38804192,CE10_chr1_38806913,CE10_chr1_38809930,CE10_chr1_38814297,CE10_chr1_38819336,CE10_chr1_38824853,CE10_chr1_38825189,CE10_chr2_18599218,CE10_chr2_18602600,CE10_chr2_18992699,CE10_chr2_40551025,CE10_chr2_41154260,CE10_chr2_44839490,CE10_chr2_51899790,CE10_chr2_53118124,CE10_chr3_10785844,CE10_chr3_17147449,CE10_chr3_18134809,CE10_chr3_21030630,CE10_chr3_23041587,CE10_chr3_24257330,CE10_chr3_34946312,CE10_chr3_34946478,CE10_chr3_43609876,CE10_chr3_49430352,CE10_chr4_4248913,CE10_chr4_7333178,CE10_chr4_24470715,CE10_chr4_29957256,CE10_chr4_37286264,CE10_chr5_11180046,CE10_chr5_45891576,CE10_chr5_47349886,CE10_chr6_1663400,CE10_chr6_2638799,CE10_chr6_2959667,CE10_chr6_5667682,CE10_chr6_53400520,CE10_chr6_54471378,CE10_chr6_54471431,CE10_chr6_54473473,CE10_chr6_54473683,CE10_chr6_54473729,CE10_chr6_54476287,CE10_chr6_54477127,CE10_chr6_56542670,CE10_chr6_58952579,CE10_chr7_982905,CE10_chr7_2535310,CE10_chr7_2535959,CE10_chr7_2536471,CE10_chr7_9883449,CE10_chr7_15769730,CE10_chr7_30609338,CE10_chr7_30652811,CE10_chr7_39808984,CE10_chr7_41247518,CE10_chr7_41247693,CE10_chr7_41247812,CE10_chr7_41247828,CE10_chr7_41248031,CE10_chr7_41248301,CE10_chr7_41248417,CE10_chr7_41251230,CE10_chr7_41251302,CE10_chr7_41251950,CE10_chr7_41251977,CE10_chr7_41252172,CE10_chr7_41253054,CE10_chr7_41253107,CE10_chr7_41253384,CE10_chr7_41253864,CE10_chr7_41253902,CE10_chr7_41253948,CE10_chr7_41254051,CE10_chr7_41265016,CE10_chr7_41265797,CE10_chr7_41265985,CE10_chr7_41266351,CE10_chr7_41266369,CE10_chr7_41266405,CE10_chr7_41267041,CE10_chr7_41267688,CE10_chr7_41267709,CE10_chr7_41267789,CE10_chr7_41271416,CE10_chr8_355269,CE10_chr8_1059020,CE10_chr8_2514047,CE10_chr8_10079268,CE10_chr8_40341188,CE10_chr8_47952724
10,2011,8,11,4,6,8,8,8,20,17,18,20,20,18,18,20,18,16,15,15,2,10,0,20,20,12,6,6,6,5,7,15,5,12,0,15,5,10,16,12,19,18,7,9,8,15,16,0,15,13,18,15,15,17,14,5,15,3,20,20,19,15,0,17,14,18,13,11,14,14,14,14,13,14,12,16,16,15,12,6,15,14,11,13,14,13,11,15,16,16,15,16,11,11,13,13,18,12,14,13,20,0
10,2012,3,11,3,8,10,10,8,14,10,10,16,17,10,11,14,11,6,5,1,7,7,2,17,20,5,7,4,9,5,6,16,5,17,5,13,3,1,18,14,14,18,2,8,4,10,8,2,11,9,14,14,14,14,11,3,16,5,19,18,19,17,2,18,11,19,9,8,11,9,14,10,12,10,10,10,13,13,12,7,11,13,12,11,9,10,11,9,12,12,12,11,12,12,13,12,16,6,13,5,20,0
10,2014,7,13,0,1,1,1,8,13,14,13,15,15,13,13,13,13,8,7,5,6,10,3,15,16,9,5,6,6,6,5,9,4,13,4,14,1,7,16,13,13,14,0,8,6,16,12,0,13,14,14,14,14,15,13,9,11,6,9,9,10,9,0,15,13,16,12,11,12,13,12,12,12,11,11,11,11,10,12,10,13,10,10,11,12,11,12,10,12,12,12,12,12,13,13,13,13,8,8,12,16,0
10,2015,6,15,6,5,4,5,11,17,13,14,17,17,11,18,17,14,8,6,3,9,11,1,16,18,9,1,2,3,3,4,14,7,15,5,13,1,8,18,13,15,10,0,9,7,11,11,1,17,14,15,13,16,13,15,13,5,8,12,10,14,14,0,16,13,16,13,9,12,12,12,13,11,12,13,12,11,10,11,11,12,11,12,9,11,14,11,14,13,12,12,10,13,12,11,13,10,7,6,7,18,0
10,2016,6,12,7,5,2,1,11,18,17,17,18,17,16,18,18,18,10,9,5,7,11,5,18,16,12,5,7,7,5,4,12,7,8,6,11,0,2,18,14,16,15,2,5,11,13,15,2,9,10,14,15,14,14,14,7,15,4,12,13,12,9,1,16,13,18,13,12,16,16,16,14,14,16,16,16,16,16,15,6,15,15,16,15,14,13,16,16,16,16,16,17,16,16,16,13,12,5,7,6,18,0
11,2010,13,2,13,3,4,4,16,16,15,14,13,16,12,14,20,11,10,8,9,9,9,7,17,18,13,9,9,8,10,8,8,7,12,13,11,5,10,16,6,8,18,4,12,7,16,11,6,15,14,14,16,15,13,14,11,14,18,11,14,13,20,3,16,17,13,15,16,16,16,15,13,14,13,12,14,14,12,12,12,14,11,9,10,14,12,15,13,12,12,12,14,13,13,13,14,16,15,10,16,18,1
11,2012,1,0,0,4,4,4,2,0,0,0,0,0,0,0,0,0,2,3,3,0,1,0,4,4,4,1,0,1,0,1,4,1,3,2,4,0,0,4,4,2,4,0,0,0,4,0,0,4,4,4,4,4,4,4,4,0,4,4,4,4,4,0,2,2,4,1,0,1,1,2,0,2,2,2,2,1,2,2,2,2,1,1,1,1,0,2,1,1,1,1,2,2,2,2,2,4,2,0,2,4,0
11,2014,4,1,0,7,6,7,4,5,1,1,3,6,1,1,6,2,2,2,2,2,2,2,5,6,3,0,0,0,0,0,8,0,10,6,3,0,0,6,6,5,4,6,4,3,4,2,2,3,3,3,5,5,4,4,1,2,4,4,1,3,5,0,5,5,9,2,2,2,2,5,2,4,2,5,4,4,4,2,3,1,4,4,2,3,2,5,4,2,2,4,3,5,5,3,3,7,2,3,6,8,0
11,2015,18,3,2,14,14,14,6,14,9,9,10,12,11,9,14,9,1,1,1,10,12,6,17,18,16,8,9,9,8,8,9,8,18,17,5,2,4,18,5,6,20,0,8,9,18,10,2,19,19,16,18,18,18,19,13,11,18,15,15,16,19,0,14,15,16,7,4,10,10,10,10,12,10,11,12,12,11,11,10,11,10,11,11,9,9,11,10,8,8,8,9,10,9,10,10,18,14,10,12,20,0
11,2016,11,4,2,17,17,16,10,8,6,7,8,7,6,6,7,7,4,5,6,4,9,1,20,20,17,4,5,4,4,4,16,5,19,14,13,2,6,18,11,6,20,0,14,5,18,9,1,16,14,14,18,16,18,14,13,15,15,13,12,11,17,2,20,18,20,13,13,13,13,13,10,12,14,14,10,11,14,10,9,12,14,14,14,13,14,14,13,12,12,11,14,13,13,12,12,18,11,10,6,20,0
