Site,snp_ID,Slope,SE,ENV.x,Type,ENV.y,Slope_base,Inv_Logit_Coeff,SE_base,percentile
1,CE10_chr1_865732,0.1457725676943211,0.18134234500225285,MAT,obs,MAT,0.23845873009123056,0.5593337926419475,0.04428389318887181,0.6231884057971014
1,CE10_chr1_9110324,23.80652464872163,54874.840177996426,MAT,obs,MAT,0.3033652039308176,0.5752649620726689,0.0463221769290833,0.782608695652174
1,CE10_chr1_10285837,-0.06298717292627456,0.16612747007681547,MAT,obs,MAT,0.2687780487068416,0.5667928931455457,0.04666444610010543,0.6666666666666666
1,CE10_chr1_41675448,0.11660892365915568,0.15457672957800292,MAT,obs,MAT,0.28449299962818836,0.5706473967199407,0.03914481595608594,0.7536231884057971
1,CE10_chr1_41675470,0.11050328000068604,0.1525144833350387,MAT,obs,MAT,0.29442035662913896,0.5730779633689382,0.03932303457147781,0.7681159420289855
1,CE10_chr1_41676505,0.11172593960846972,0.1512380024150344,MAT,obs,MAT,0.2762858830813892,0.5686354244793903,0.03995604847863821,0.7101449275362319
1,CE10_chr1_41676527,0.15788863812216197,0.15245675778815154,MAT,obs,MAT,0.28272690155299035,0.5702146330096332,0.03966198520285238,0.7391304347826086
1,CE10_chr2_2890930,0.47398758402432534,0.9749849033596463,MAT,obs,MAT,0.42157715387355765,0.6038605872714419,0.12052865964144684,0.9420289855072463
1,CE10_chr2_13563156,23.391552808911843,55045.941136681024,MAT,obs,MAT,0.20871283621837083,0.5519896190739555,0.1115846982849314,0.5797101449275363
1,CE10_chr2_18320447,0.020189878562971816,25389.944668325577,MAT,obs,MAT,0.28067005996756833,0.5697104904063238,0.05329438939297358,0.7246376811594203
1,CE10_chr2_18320697,24.073550788131918,51204.742894791736,MAT,obs,MAT,0.02205868946998859,0.5055144487649472,0.03535971208310091,0.07246376811594203
1,CE10_chr2_18584866,0.8817587537296966,0.4815236145940995,MAT,obs,MAT,0.02649342763850939,0.5066229695246905,0.03590267491386383,0.10144927536231885
1,CE10_chr2_18631100,0.8597525505144124,0.47589397174943,MAT,obs,MAT,0.04237339717815776,0.5105917645449661,0.03642767400503736,0.14492753623188406
1,CE10_chr2_18632042,24.073550788131918,51204.742894791736,MAT,obs,MAT,0.02393741676441459,0.505984068454603,0.03647088157959394,0.08695652173913043
1,CE10_chr2_18734446,-0.018906590622120592,0.16183794160206016,MAT,obs,MAT,0.19804158336700592,0.5493492095812712,0.03503104923880659,0.5217391304347826
1,CE10_chr2_18738517,0.5439820775271345,0.33389598611023924,MAT,obs,MAT,0.03328365539315194,0.5083201457731551,0.03751404475026787,0.11594202898550725
1,CE10_chr2_18964953,0.8817587537296966,0.4815236145940995,MAT,obs,MAT,0.03719417170852783,0.5092974711034184,0.03636375982336748,0.13043478260869565
