Site,snp_ID,Slope,SE,ENV,Type
1,CE10_chr1_865732,0.1457725676943211,0.18134234500225285,MAT,obs
1,CE10_chr1_1144907,0.25144315935578326,0.15421085857653646,MAT,obs
1,CE10_chr1_1268541,-0.006680104095818725,25587.71544334981,MAT,obs
1,CE10_chr1_1521089,0.7965911412334287,0.6473479315549914,MAT,obs
1,CE10_chr1_1568526,-0.033349527054340675,26645.930770537267,MAT,obs
1,CE10_chr1_2508598,0.005151416039249265,0.16500648164073267,MAT,obs
1,CE10_chr1_4675850,0.28563533220298953,0.8092224143317462,MAT,obs
1,CE10_chr1_7256094,0.020189878562971816,25389.944668325577,MAT,obs
1,CE10_chr1_7287063,0.04286922722603076,0.18329605889552353,MAT,obs
1,CE10_chr1_9096042,-0.44578473508554756,0.8040590623854162,MAT,obs
1,CE10_chr1_9293767,-0.013514938648006312,25907.30097622896,MAT,obs
1,CE10_chr1_9695115,0.10127387409357108,0.16653658488531875,MAT,obs
1,CE10_chr1_9779479,0.24459209452780442,0.35142488585135956,MAT,obs
1,CE10_chr1_10420560,0.00667940157148876,25587.68602558613,MAT,obs
1,CE10_chr1_12815001,-0.24544038754005806,0.17300870306427937,MAT,obs
1,CE10_chr1_18487779,-0.154308732566527,29683.175882507177,MAT,obs
1,CE10_chr1_24367122,0.00667940157148876,25587.68602558613,MAT,obs
1,CE10_chr1_30319642,23.78885915510671,53081.091569569835,MAT,obs
1,CE10_chr1_31353575,0.020189878562971816,25389.944668325577,MAT,obs
1,CE10_chr1_35177242,0.2035622620745521,0.3062923197067387,MAT,obs
1,CE10_chr1_35220219,0.4606160637844445,0.17993902695421513,MAT,obs
1,CE10_chr1_35395120,0.5434142183604485,0.1942533309704824,MAT,obs
1,CE10_chr1_37340153,21.56057237750537,35703.70289133115,MAT,obs
1,CE10_chr1_38194367,0.00667940157148876,25587.68602558613,MAT,obs
1,CE10_chr1_38824853,0.21685561178009957,0.2327520845968272,MAT,obs
1,CE10_chr1_40315346,-0.04955291525761192,24463.025936488317,MAT,obs
1,CE10_chr1_40641544,0.1393244938977257,0.3755832090105197,MAT,obs
1,CE10_chr1_41391988,-0.3381475091628955,0.19623022263929213,MAT,obs
1,CE10_chr1_41675448,0.11660892365915568,0.15457672957800292,MAT,obs
1,CE10_chr1_41953131,0.03845412172288241,26055.081618635537,MAT,obs
1,CE10_chr1_42693549,-0.23813023186035417,0.27790070274579487,MAT,obs
1,CE10_chr1_43773360,-24.914240444995325,49306.96647789913,MAT,obs
1,CE10_chr1_44567036,2.6412875048496267e-14,0.33541016144324015,MAT,obs
1,CE10_chr1_44621407,-0.48580604902843316,0.5540684657217475,MAT,obs
1,CE10_chr2_241436,22.70620341443551,56961.40735899042,MAT,obs
